new_center,new_unit,unit_type
Pekanbaru,SME Banking Floor Batam,existing
Pekanbaru,SME Banking Floor Dumai,existing
Pekanbaru,SME Banking Center Pekanbaru,existing
Medan,SME Banking Center Medan,existing
Medan,SME Banking Floor Medan Imam Bonjol,existing
Medan,SME Banking Floor Pematangsiantar,existing
Medan,SME Banking Floor Rantau Prapat,existing
Palembang,SME Banking Floor Bandar Lampung,existing
Palembang,SME Banking Floor Bengkulu,existing
Jambi,SME Banking Center Jambi,existing
Jambi,SME Banking Floor Padang,existing
Palembang,SME Banking Center Palembang,existing
Palembang,SME Banking Floor Palembang Sudirman,existing
Palembang,SME Banking Floor Pangkalpinang,existing
Tangerang,SME Banking Floor Cilegon,existing
Jakarta Wijaya Kusuma,SME Banking Center Jakarta Wijaya Kusuma,existing
Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Green Ville,existing
Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Kota,existing
Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Kyai Tapa,existing
Jakarta Pulogadung,SME Banking Center Jakarta Pulogadung,existing
Jakarta Pulogadung,SME Banking Floor Jakarta Pulogadung,existing
Jakarta Pulogadung,SME Banking Floor Jakarta Tanjung Priok,existing
Tangerang,SME Banking Center Tangerang,existing
Tangerang,SME Banking Floor Gading Serpong,existing
Tangerang,SME Banking Floor Tangerang Ki Samaun,existing
Bekasi,SME Banking Center Bekasi,existing
Bekasi,SME Banking Floor Jakarta Pondok Kelapa,existing
Jakarta Kebon Sirih,SME Banking Floor Jakarta Cikini,existing
Jakarta Kebon Sirih,SME Banking Center Jakarta Kebon Sirih,existing
Jakarta Kebon Sirih,SME Banking Floor Jakarta Imam Bonjol,existing
Jakarta Jatinegara Timur,SME Banking Center Jakarta Jatinegara Timur,existing
Jakarta Jatinegara Timur,SME Banking Floor Jakarta Pasar Rebo,existing
Jakarta Kebon Sirih,SME Banking Floor Jakarta Thamrin,existing
Jakarta Fatmawati,SME Banking Floor Bogor,existing
Jakarta Fatmawati,SME Banking Floor Depok,existing
Jakarta Melawai,SME Banking Center Jakarta Melawai,existing
Jakarta Fatmawati,SME Banking Center Jakarta Fatmawati,existing
Jakarta Kebon Sirih,SME Banking Floor Jakarta Plaza Mandiri,existing
Jakarta Fatmawati,SME Banking Floor Jakarta Pondok Indah,existing
Jakarta Kebon Sirih,SME Banking Floor Jakarta Sudirman,existing
Jakarta Melawai,SME Banking Floor Jakarta Tebet Supomo,existing
Bandung Asia Afrika,SME Banking Center Bandung Asia Afrika,existing
Bandung Asia Afrika,SME Banking Floor Bandung Braga,existing
Bandung Surapati,SME Banking Center Bandung Surapati,existing
Bandung Asia Afrika,SME Banking Floor Cirebon,existing
Bandung Asia Afrika,SME Banking Floor Karawang,existing
Bandung Surapati,SME Banking Floor Sukabumi,existing
Bandung Surapati,SME Banking Floor Tasikmalaya,existing
Semarang,SME Banking Floor Kudus,existing
Yogyakarta,SME Banking Floor Magelang,existing
Yogyakarta,SME Banking Floor Purwokerto,existing
Semarang,SME Banking Center Semarang,existing
Semarang,SME Banking Floor Semarang Pemuda,existing
Yogyakarta,SME Banking Floor Solo,existing
Semarang,SME Banking Floor Tegal,existing
Yogyakarta,SME Banking Center Yogyakarta,existing
Surabaya Niaga,SME Banking Floor Gresik,existing
Surabaya Pemuda,SME Banking Floor Jember,existing
Surabaya Niaga,SME Banking Floor Kediri,existing
Malang,SME Banking Center Malang,existing
Surabaya Pemuda,SME Banking Center Surabaya Pemuda,existing
Surabaya Pemuda,SME Banking Floor Surabaya Gentengkali,existing
Surabaya Niaga,SME Banking Center Surabaya Niaga,existing
Samarinda,SME Banking Floor Balikpapan,existing
Banjarmasin,SME Banking Center Banjarmasin,existing
Banjarmasin,SME Banking Floor Palangkaraya,existing
Pontianak,SME Banking Center Pontianak,existing
Samarinda,SME Banking Center Samarinda,existing
Makassar,SME Banking Floor Kendari,existing
Makassar,SME Banking Center Makassar,existing
Makassar,SME Banking Floor Makassar Sam Ratulangi,existing
Manado,SME Banking Floor Maluku,existing
Manado,SME Banking Center Manado,existing
Makassar,SME Banking Floor Palu,existing
Makassar,SME Banking Floor Pare Pare,existing
Denpasar,SME Banking Center Denpasar,existing
Denpasar,SME Banking Floor Kupang,existing
Denpasar,SME Banking Floor Kuta Raya,existing
Denpasar,SME Banking Floor Mataram,existing
Jayapura,SME Banking Center Jayapura,existing
Jayapura,SME Banking Floor Sorong,existing
Medan,SME Banking Desk Sibolga,new_desk
Palembang,SME Banking Desk Lubuk Linggau,new_desk
Palembang,SME Banking Desk Tanjung Pandan,new_desk
Jambi,SME Banking Desk Muara Bungo,new_desk
Banjarmasin,SME Banking Desk Sampit,new_desk
Banjarmasin,SME Banking Desk Batulicin,new_desk
Banjarmasin,SME Banking Desk Pangkalan Bun,new_desk
Pontianak,SME Banking Desk Ketapang,new_desk
Samarinda,SME Banking Desk Tarakan,new_desk
Makassar,SME Banking Desk Luwuk,new_desk
Makassar,SME Banking Desk Soroako,new_desk
Makassar,SME Banking Desk Morowali,new_desk
Manado,SME Banking Desk Gorontalo,new_desk
Manado,SME Banking Desk Ternate,new_desk
Denpasar,SME Banking Desk Singaraja,new_desk
Denpasar,SME Banking Desk Bima,new_desk
Denpasar,SME Banking Desk Sumbawa Besar,new_desk
Denpasar,SME Banking Desk Ruteng,new_desk
Jayapura,SME Banking Desk Manokwari,new_desk
Jayapura,SME Banking Desk Merauke,new_desk
Jayapura,SME Banking Desk Nabire,new_desk
Jayapura,SME Banking Desk Timika,new_desk
