region,area,target_nondebitur
Pekanbaru,SME Banking Floor Batam,6
Pekanbaru,SME Banking Floor Dumai,3
Pekanbaru,SME Banking Center Pekanbaru,10
Medan,SME Banking Center Medan,8
Medan,SME Banking Floor Medan Imam Bonjol,7
Medan,SME Banking Floor Pematangsiantar,6
Medan,SME Banking Floor Rantau Prapat,1
Medan,SME Banking Desk Sibolga,0
Palembang,SME Banking Floor Bandar Lampung,4
Palembang,SME Banking Floor Bengkulu,1
Palembang,SME Banking Center Palembang,4
Palembang,SME Banking Floor Palembang Sudirman,4
Palembang,SME Banking Floor Pangkalpinang,6
Palembang,SME Banking Desk Lubuk Linggau,0
Palembang,SME Banking Desk Tanjung Pandan,0
Jambi,SME Banking Center Jambi,5
Jambi,SME Banking Floor Padang,5
Jambi,SME Banking Desk Muara Bungo,0
Tangerang,SME Banking Floor Cilegon,2
Tangerang,SME Banking Center Tangerang,3
Tangerang,SME Banking Floor Gading Serpong,1
Tangerang,SME Banking Floor Tangerang Ki Samaun,3
Jakarta Wijaya Kusuma,SME Banking Center Jakarta Wijaya Kusuma,5
Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Green Ville,3
Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Kota,2
Jakarta Wijaya Kusuma,SME Banking Floor Jakarta Kyai Tapa,2
Jakarta Pulogadung,SME Banking Center Jakarta Pulogadung,7
Jakarta Pulogadung,SME Banking Floor Jakarta Pulogadung,6
Jakarta Pulogadung,SME Banking Floor Jakarta Tanjung Priok,5
Bekasi,SME Banking Center Bekasi,6
Bekasi,SME Banking Floor Jakarta Pondok Kelapa,6
Jakarta Kebon Sirih,SME Banking Floor Jakarta Cikini,4
Jakarta Kebon Sirih,SME Banking Center Jakarta Kebon Sirih,8
Jakarta Kebon Sirih,SME Banking Floor Jakarta Imam Bonjol,4
Jakarta Kebon Sirih,SME Banking Floor Jakarta Thamrin,3
Jakarta Kebon Sirih,SME Banking Floor Jakarta Plaza Mandiri,3
Jakarta Kebon Sirih,SME Banking Floor Jakarta Sudirman,4
Jakarta Jatinegara Timur,SME Banking Center Jakarta Jatinegara Timur,3
Jakarta Jatinegara Timur,SME Banking Floor Jakarta Pasar Rebo,2
Jakarta Fatmawati,SME Banking Floor Bogor,7
Jakarta Fatmawati,SME Banking Floor Depok,2
Jakarta Fatmawati,SME Banking Center Jakarta Fatmawati,3
Jakarta Fatmawati,SME Banking Floor Jakarta Pondok Indah,6
Jakarta Melawai,SME Banking Center Jakarta Melawai,9
Jakarta Melawai,SME Banking Floor Jakarta Tebet Supomo,6
Bandung Asia Afrika,SME Banking Center Bandung Asia Afrika,9
Bandung Asia Afrika,SME Banking Floor Bandung Braga,8
Bandung Asia Afrika,SME Banking Floor Cirebon,5
Bandung Asia Afrika,SME Banking Floor Karawang,4
Bandung Surapati,SME Banking Center Bandung Surapati,4
Bandung Surapati,SME Banking Floor Sukabumi,2
Bandung Surapati,SME Banking Floor Tasikmalaya,4
Semarang,SME Banking Floor Kudus,2
Semarang,SME Banking Center Semarang,3
Semarang,SME Banking Floor Semarang Pemuda,6
Semarang,SME Banking Floor Tegal,3
Yogyakarta,SME Banking Floor Magelang,1
Yogyakarta,SME Banking Floor Purwokerto,3
Yogyakarta,SME Banking Floor Solo,3
Yogyakarta,SME Banking Center Yogyakarta,5
Surabaya Niaga,SME Banking Floor Gresik,6
Surabaya Niaga,SME Banking Floor Kediri,6
Surabaya Niaga,SME Banking Center Surabaya Niaga,9
Surabaya Pemuda,SME Banking Floor Jember,5
Surabaya Pemuda,SME Banking Center Surabaya Pemuda,9
Surabaya Pemuda,SME Banking Floor Surabaya Gentengkali,6
Malang,SME Banking Center Malang,6
Samarinda,SME Banking Floor Balikpapan,4
Samarinda,SME Banking Center Samarinda,5
Samarinda,SME Banking Desk Tarakan,0
Banjarmasin,SME Banking Center Banjarmasin,10
Banjarmasin,SME Banking Floor Palangkaraya,4
Banjarmasin,SME Banking Desk Sampit,0
Banjarmasin,SME Banking Desk Batulicin,0
Banjarmasin,SME Banking Desk Pangkalan Bun,0
Pontianak,SME Banking Center Pontianak,5
Pontianak,SME Banking Desk Ketapang,0
Makassar,SME Banking Floor Kendari,3
Makassar,SME Banking Center Makassar,6
Makassar,SME Banking Floor Makassar Sam Ratulangi,4
Makassar,SME Banking Floor Palu,3
Makassar,SME Banking Floor Pare Pare,3
Makassar,SME Banking Desk Luwuk,0
Makassar,SME Banking Desk Soroako,0
Makassar,SME Banking Desk Morowali,0
Manado,SME Banking Floor Maluku,3
Manado,SME Banking Center Manado,3
Manado,SME Banking Desk Gorontalo,0
Manado,SME Banking Desk Ternate,0
Denpasar,SME Banking Center Denpasar,6
Denpasar,SME Banking Floor Kupang,2
Denpasar,SME Banking Floor Kuta Raya,5
Denpasar,SME Banking Floor Mataram,3
Denpasar,SME Banking Desk Singaraja,1
Denpasar,SME Banking Desk Bima,1
Denpasar,SME Banking Desk Sumbawa Besar,0
Denpasar,SME Banking Desk Ruteng,0
Jayapura,SME Banking Center Jayapura,3
Jayapura,SME Banking Floor Sorong,1
Jayapura,SME Banking Desk Manokwari,0
Jayapura,SME Banking Desk Merauke,0
Jayapura,SME Banking Desk Nabire,0
Jayapura,SME Banking Desk Timika,0
